Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Mike Conley,1m85,29,6,24.7,3.3,7
Marc Gasol,2m15,31,6,19.3,6.5,4.2
Zach Randolph,2m06,35,6,13.2,8.2,0.7
Vince Carter,2m01,39,6,9.2,3.3,1.5
James Ennis,2m01,26,6,8.3,4.2,1.2
Jamychal Green,2m03,26,6,7.3,3.3,0.3
Andrew Harrison,1m95,22,6,6.5,1.8,2.2
Wayne Selden,1m96,22,6,3.8,1.5,1.2
Deyonta Davis,2m08,20,3,2.3,1.7,0
Brandan Wright,2m06,29,2,2,1,0
Troy Daniels,1m95,25,6,1.5,0.8,0.3
Jarell Martin,2m08,22,3,0.7,1.3,0
Wade Baldwin,1m93,20,3,0.7,1.3,0.7
