Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LeBron James,2m03,36,6,23.3,7.2,8
Anthony Davis,2m09,27,5,17.4,6.6,2.6
Dennis Schroder,1m81,27,6,14.3,3,2.8
Andre Drummond,2m09,27,5,9,11,0
Talen Horton-Tucker,1m93,20,4,6.5,3.5,0.5
Kyle Kuzma,2m06,25,6,6.3,3.8,1.2
Kentavious Caldwell-Pope,1m95,27,5,6.2,2.8,1
Alex Caruso,1m95,26,6,5.8,1.3,0.5
Montrezl Harrell,2m03,26,4,5.8,2.5,0
Wesley Matthews,1m96,34,6,5.5,1.7,0.3
Marc Gasol,2m15,35,5,5.2,3.8,3
Markieff Morris,2m08,31,4,2.3,1,0.8
Ben McLemore,1m96,27,4,1.5,1.8,0.3
Jared Dudley,2m00,35,2,0,0,0
Alfonzo McKinnie,2m03,28,2,0,0.5,0
