Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kawhi Leonard,2m03,27,24,30.5,9.1,3.9
Pascal Siakam,2m06,24,24,19,7.1,2.8
Kyle Lowry,1m85,32,24,15,4.9,6.6
Marc Gasol,2m15,33,24,9.4,6.4,3
Serge Ibaka,2m08,29,24,9.4,6,0.9
Fred Van Vleet,1m77,24,24,8,1.7,2.6
Danny Green,1m98,31,24,6.9,3.6,1.1
Norman Powell,1m92,25,23,6.5,2.2,1.1
Chris Boucher,2m08,25,2,2.5,0.5,0
Jodie Meeks,1m93,31,14,1.6,0.6,0.1
Jeremy Lin,1m91,30,8,1.1,0.4,0.5
Malcolm Miller,2m01,25,10,0.8,0.5,0.1
Patrick McCaw,1m92,23,11,0.5,0.3,0.4
Eric Moreland,2m08,27,8,0.3,1.8,0.4
