Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zach Randolph,2m06,32,78,17.5,10.1,2.5
Mike Conley,1m85,26,72,17.1,2.9,6
Marc Gasol,2m15,28,59,14.6,7.2,3.6
Courtney Lee,1m95,28,49,11,2.8,1.7
Tony Allen,1m93,31,54,8.9,3.9,1.7
Jerryd Bayless,1m88,25,30,8.2,1.9,2.2
James Johnson,2m03,26,51,7.3,3.1,2.1
Mike Miller,2m04,33,81,7.1,2.6,1.6
Kosta Koufos,2m13,24,79,6.4,5.3,0.5
Jon Leuer,2m10,24,48,6.3,3.3,0.4
Quincy Pondexter,2m00,25,15,6.3,1.7,1.3
Tayshaun Prince,2m05,33,75,6,3.1,1.6
Ed Davis,2m08,24,62,5.6,4.1,0.4
Nick Calathes,1m96,24,71,4.9,1.9,2.9
Darius Morris,1m95,22,5,3,1.6,1.6
Beno Udrih,1m92,31,10,2.7,0.2,0.6
Jamaal Franklin,1m98,22,21,1.9,1.1,0.3
Seth Curry,1m87,23,1,0,0,0
