Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LeBron James,2m03,36,45,25,7.7,7.8
Anthony Davis,2m09,27,36,21.8,7.9,3.1
Dennis Schroder,1m81,27,61,15.4,3.5,5.8
Montrezl Harrell,2m03,26,69,13.5,6.2,1.1
Kyle Kuzma,2m06,25,68,12.9,6.1,1.9
Andre Drummond,2m09,27,21,11.9,10.2,1.4
Kentavious Caldwell-Pope,1m95,27,67,9.7,2.7,1.9
Talen Horton-Tucker,1m93,20,65,9,2.6,2.8
Ben McLemore,1m96,27,21,8,1.6,0.5
Markieff Morris,2m08,31,61,6.7,4.4,1.2
Alex Caruso,1m95,26,58,6.4,2.9,2.8
Damian Jones,2m08,25,8,5.4,3.3,0.1
Marc Gasol,2m15,35,52,5,4.1,2.1
Wesley Matthews,1m96,34,58,4.8,1.6,0.9
Alfonzo McKinnie,2m03,28,39,3.1,1.4,0.2
Quinn Cook,1m88,27,16,2.1,0.3,0.3
Devontae Cacok,2m01,24,20,2,1.6,0.1
Kostas Antetokounmpo,2m08,23,15,0.8,1.3,0.1
Jared Dudley,2m00,35,12,0.5,1.8,0.4
