Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kawhi Leonard,2m03,27,60,26.6,7.3,3.3
Pascal Siakam,2m06,24,80,16.9,6.9,3.1
Serge Ibaka,2m08,29,74,15,8.1,1.3
Kyle Lowry,1m85,32,65,14.2,4.8,8.7
Jonas Valanciunas,2m10,26,30,12.8,7.2,1
Fred Van Vleet,1m77,24,64,11,2.6,4.8
Danny Green,1m98,31,80,10.3,4,1.6
Marc Gasol,2m15,33,26,9.1,6.6,3.9
Norman Powell,1m92,25,60,8.6,2.3,1.5
Jeremy Lin,1m91,30,23,7,2.6,2.2
Ogugua Anunoby,2m04,21,67,7,2.9,0.7
Delon Wright,1m96,26,49,6.9,2.6,2.2
Jodie Meeks,1m93,31,8,6.4,1.5,1
C.J. Miles,1m98,31,40,5.5,1.7,0.6
Greg Monroe,2m12,28,38,4.8,4.1,0.4
Malcolm Miller,2m01,25,10,3.5,0.5,0.1
Chris Boucher,2m08,25,28,3.3,2,0.1
Patrick McCaw,1m92,23,26,2.7,1.7,1
Jordan Loyd,1m93,25,12,2.4,0.8,0.5
Lorenzo Brown,1m98,28,26,2.1,1.2,1.1
Eric Moreland,2m08,27,4,1.8,4.3,1
Malachi Richardson,1m98,22,22,1.4,0.6,0
