Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Michael Jordan,1m99,32,82,30.4,6.6,4.3
Scottie Pippen,2m01,30,77,19.4,6.4,5.9
Toni Kukoc,2m12,27,81,13.1,4,3.5
Luc Longley,2m19,26,62,9.1,5.1,1.9
Steve Kerr,1m91,30,82,8.4,1.3,2.3
Ron Harper,1m99,31,80,7.4,2.7,2.6
Dennis Rodman,2m04,34,64,5.5,14.9,2.5
Bill Wennington,2m14,32,71,5.3,2.5,0.6
Jack Haley,2m08,31,1,5,2,0
Jud Buechler,1m99,27,74,3.8,1.5,0.8
Dickey Simpkins,2m09,23,60,3.6,2.6,0.6
James Edwards,2m16,40,28,3.5,1.4,0.4
Jason Caffey,2m04,22,57,3.2,1.9,0.4
Randy Brown,1m89,27,68,2.7,1,1.1
John Salley,2m12,31,17,2.1,2.5,0.9
