Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Michael Jordan,1m99,38,60,22.9,5.7,5.2
Richard Hamilton,1m99,23,63,20,3.4,2.7
Chris Whitney,1m84,30,82,10.2,1.9,3.8
Courtney Alexander,1m96,24,56,9.8,2.6,1.5
Tyronn Lue,1m84,24,71,7.8,1.7,3.5
Hubert Davis,1m96,31,51,7.2,1.5,2.1
Christian Laettner,2m12,32,57,7.1,5.3,2.6
Popeye Jones,2m03,26,79,7,7.3,1.6
Tyrone Nesby,1m99,25,70,6.3,4.5,1.3
Jahidi White,2m07,25,71,5.4,6.3,0.2
Brendan Haywood,2m15,22,62,5.1,5.2,0.5
Kwame Brown,2m11,19,57,4.5,3.5,0.8
Etan Thomas,2m07,23,47,4.3,3.9,0.1
Bobby Simmons,2m01,21,30,3.7,1.7,0.6
