Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jimmy Butler,2m00,25,12,22.9,5.6,3.2
Derrick Rose,1m88,26,12,20.3,4.8,6.5
Pau Gasol,2m15,34,10,14.4,9.4,3.1
Mike Dunleavy,2m06,34,12,10.9,4,2.6
Taj Gibson,2m05,29,12,7.4,5.5,1
Joakim Noah,2m10,29,12,5.8,11,3.2
Nikola Mirotic,2m08,23,11,5.7,2.7,0.8
Aaron Brooks,1m82,29,12,4.5,1.5,0.9
Tony Snell,2m01,23,11,3.9,1.5,0.5
Kirk Hinrich,1m91,33,10,2.6,0.5,1.1
E'Twaun Moore,1m95,25,3,1.7,1,0
Doug McDermott,2m01,22,3,1.7,0.7,0.3
Nazr Mohammed,2m09,37,3,1.3,1.7,0
