Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Dwight Howard,2m11,27,4,17,10.8,1
Steve Blake,1m91,32,2,14,4,2.5
Pau Gasol,2m15,32,4,14,11.5,6.5
Steve Nash,1m91,38,2,12.5,2.5,4.5
Andrew Goudelock,1m91,24,3,12,1.7,1
Darius Morris,1m95,21,4,10.5,1.3,3
Antawn Jamison,2m06,36,4,7.3,1.8,0.3
Metta World Peace,2m01,33,3,6,3.7,1.7
Chris Duhon,1m85,30,2,5.5,1.5,3.5
Jodie Meeks,1m93,25,1,4,2,0
Earl Clark,2m09,24,4,3.5,3,0.3
Jordan Hill,2m08,25,3,3.3,3.7,0.3
Robert Sacre,2m13,23,2,0,1,0
