Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMarcus Aldridge,2m08,32,5,23.6,9.2,2.4
Patty Mills,1m80,29,5,13.4,2,2.6
Rudy Gay,2m05,31,5,12.2,5.6,2.2
Manu Ginobili,2m01,40,5,9,3,3.2
Dejounte Murray,1m96,21,5,7.8,4.2,1.8
Tony Parker,1m86,35,5,6.6,0.8,1.2
Pau Gasol,2m15,37,5,6,4.8,2.8
Kyle Anderson,2m02,24,5,5.4,2.6,0.6
Bryn Forbes,1m92,24,4,4.3,0.8,0.5
Danny Green,1m98,30,5,4.2,2.2,0.2
Davis Bertans,2m08,25,5,3.4,2.2,1.2
Derrick White,1m93,23,3,2.3,0,0.3
Joffrey Lauvergne,2m11,26,1,2,1,0
Brandon Paul,1m93,26,1,0,1,1
