Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Giannis Antetokounmpo,2m11,24,72,27.7,12.5,5.9
Khris Middleton,2m02,27,77,18.3,6,4.3
Eric Bledsoe,1m87,29,78,15.9,4.6,5.5
Malcolm Brogdon,1m97,26,64,15.6,4.5,3.2
Brook Lopez,2m13,30,81,12.5,4.9,1.2
Nikola Mirotic,2m08,27,14,11.6,5.4,1.4
Pat Connaughton,1m96,25,61,6.9,4.2,2
George Hill,1m87,32,47,6.8,2.6,2.1
Ersan Ilyasova,2m05,31,67,6.8,4.5,0.8
Sterling Brown,1m98,23,58,6.4,3.2,1.4
Tim Frazier,1m85,28,12,6.3,2.6,3.5
Tony Snell,2m01,27,74,6,2.1,0.9
D.J. Wilson,2m08,22,48,5.8,4.6,1.1
John Henson,2m10,28,14,5.6,5.1,1
Bonzie Colson,1m98,22,8,4.9,3.8,0.4
Donte DiVincenzo,1m93,21,27,4.9,2.4,1.1
Thon Maker,2m13,21,35,4.7,2.7,0.5
Christian Wood,2m11,23,13,2.8,1.5,0.2
Jaylen Morris,1m96,23,4,2.5,1.3,1
Jason Smith,2m13,32,6,2.2,1.8,0.2
Trevon Duval,1m91,20,3,1.7,0.3,0.7
Matthew Dellavedova,1m95,28,12,1.7,0.8,2.4
Isaiah Canaan,1m86,27,4,1.5,1,0.8
Pau Gasol,2m15,38,3,1.3,3.3,0.7
