Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jimmy Butler,2m00,26,67,20.9,5.3,4.8
Pau Gasol,2m15,35,72,16.5,11,4.1
Derrick Rose,1m88,27,66,16.4,3.4,4.7
Nikola Mirotic,2m08,24,66,11.8,5.5,1.5
Doug McDermott,2m01,23,81,9.4,2.4,0.7
Taj Gibson,2m05,30,73,8.6,6.9,1.5
E'Twaun Moore,1m95,26,59,7.5,2.3,1.7
Mike Dunleavy,2m06,35,31,7.2,2.7,1.3
Aaron Brooks,1m82,30,69,7.1,1.5,2.6
Bobby Portis,2m05,20,62,7,5.4,0.8
Justin Holiday,2m00,26,27,6.5,2.3,1.7
Tony Snell,2m01,24,64,5.3,3.1,1
Joakim Noah,2m10,30,29,4.3,8.8,3.8
Kirk Hinrich,1m91,34,35,3.8,1.7,1.7
Cristiano Felicio,2m11,23,31,3.4,3.3,0.8
Cameron Bairstow,2m05,25,18,1.9,1.6,0.3
