Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Rudy Gay,2m05,21,81,20.1,6.2,2
Pau Gasol,2m15,27,39,18.9,8.8,3
Mike Miller,2m04,27,70,16.4,6.7,3.4
Hakim Warrick,2m04,25,75,11.4,4.7,0.7
Juan Carlos Navarro,1m91,27,82,10.9,2.6,2.2
Kyle Lowry,1m85,21,82,9.6,3,3.6
Mike Conley,1m85,20,53,9.4,2.6,4.2
Javaris Crittenton,1m96,20,28,7.4,3.2,1.2
Damon Stoudamire,1m79,34,29,7.3,2.4,3.9
Darko Milicic,2m12,22,70,7.2,6.1,0.8
Stromile Swift,2m07,28,35,6.8,3.7,0.6
Bobby Jones,2m02,23,9,4.4,3,1.2
Tarence Kinsey,2m00,23,11,3.6,1.1,0.2
Kwame Brown,2m11,25,15,3.5,3.8,1.1
Brian Cardinal,2m04,30,37,3.4,2.6,0.6
Andre Brown,2m07,26,33,3,2.8,0.2
Jason Collins,2m13,29,31,2.6,2.9,0.2
Casey Jacobsen,1m98,26,53,2,1.2,0.4
Jeremy Richardson,1m98,23,3,0,0.3,0.3
