Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kobe Bryant,2m01,34,78,27.3,5.6,6
Dwight Howard,2m11,27,76,17.1,12.4,1.4
Pau Gasol,2m15,32,49,13.7,8.6,4.1
Steve Nash,1m91,38,50,12.7,2.8,6.7
Metta World Peace,2m01,33,75,12.4,5,1.5
Antawn Jamison,2m06,36,76,9.4,4.8,0.7
Jodie Meeks,1m93,25,78,7.9,2.2,0.9
Steve Blake,1m91,32,45,7.3,2.9,3.8
Earl Clark,2m09,24,59,7.3,5.5,1.1
Jordan Hill,2m08,25,29,6.7,5.7,0.4
Darius Morris,1m95,21,48,4,1.2,1.6
Devin Ebanks,2m08,23,19,3.4,2.2,0.5
Chris Duhon,1m85,30,46,2.9,1.5,2.9
Robert Sacre,2m13,23,32,1.3,1.1,0.2
Darius Johnson-Odom,1m90,23,4,0,1,0.3
Andrew Goudelock,1m91,24,1,0,1,0
