Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMarcus Aldridge,2m08,32,75,23.1,8.5,2
Kawhi Leonard,2m03,26,9,16.2,4.7,2.3
Rudy Gay,2m05,31,57,11.5,5.1,1.3
Pau Gasol,2m15,37,77,10.1,8,3.1
Patty Mills,1m80,29,82,10,1.9,2.8
Manu Ginobili,2m01,40,65,8.9,2.2,2.5
Danny Green,1m98,30,70,8.6,3.6,1.6
Dejounte Murray,1m96,21,81,8.1,5.7,2.9
Kyle Anderson,2m02,24,74,7.9,5.4,2.7
Tony Parker,1m86,35,55,7.7,1.7,3.5
Bryn Forbes,1m92,24,80,6.9,1.4,1
Davis Bertans,2m08,25,77,5.9,2,1
Joffrey Lauvergne,2m11,26,55,4.1,3.1,0.7
Derrick White,1m93,23,17,3.2,1.5,0.5
Brandon Paul,1m93,26,64,2.3,1.1,0.6
Darrun Hilliard,1m98,24,14,1.1,0.5,0.8
Matt Costello,2m08,24,4,1,2.3,0.5
