Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Giannis Antetokounmpo,2m11,28,63,31.1,11.8,5.7
Jrue Holiday,1m90,32,67,19.3,5.1,7.4
Brook Lopez,2m13,34,78,15.9,6.7,1.3
Khris Middleton,2m02,31,33,15.1,4.2,4.9
Bobby Portis,2m05,27,70,14.1,9.6,1.5
Grayson Allen,1m93,27,72,10.4,3.3,2.3
Jevon Carter,1m88,27,81,8,2.5,2.4
Pat Connaughton,1m96,29,61,7.6,4.6,1.3
Lindell Wigginton,1m88,24,7,7.1,1,2
Joe Ingles,2m04,35,46,6.9,2.8,3.3
Jae Crowder,2m00,32,18,6.9,3.8,1.5
Jordan Nwora,2m03,24,38,6,3.1,1
Goran Dragic,1m88,36,7,5.6,1.7,1.7
MarJon Beauchamp,1m98,22,52,5.1,2.2,0.7
George Hill,1m87,36,35,5,1.9,2.5
Meyers Leonard,2m10,30,9,4.8,3.8,0.1
A.J. Green,1m92,23,35,4.4,1.3,0.6
Serge Ibaka,2m08,33,16,4.1,2.8,0.3
Wesley Matthews,1m96,36,52,3.4,2.2,0.7
Sandro Mamukelashvili,2m11,23,24,2.4,2.3,0.7
Thanasis Antetokounmpo,2m01,30,37,1.4,1.2,0.4
