Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jimmy Butler,2m00,32,57,21.4,5.9,5.5
Tyler Herro,1m96,21,66,20.7,5,4
Bam Adebayo,2m09,24,56,19.1,10.1,3.4
Kyle Lowry,1m85,35,63,13.4,4.5,7.5
Victor Oladipo,1m97,29,8,12.4,2.9,3.5
Duncan Robinson,2m03,27,79,10.9,2.6,1.6
Max Strus,1m97,25,68,10.6,3,1.4
Caleb Martin,1m96,26,60,9.2,3.8,1.1
Gabe Vincent,1m91,25,68,8.7,1.9,3.1
P.J. Tucker,1m98,36,71,7.6,5.5,2.1
Markieff Morris,2m08,32,17,7.6,2.6,1.4
Mychal Mulder,1m94,27,2,7,1.5,1
Dewayne Dedmon,2m13,32,67,6.3,5.8,0.7
Nik Stauskas,1m98,28,2,5.5,1.5,0.5
Omer Yurtseven,2m09,23,56,5.3,5.3,0.9
Javonte Smart,1m93,22,4,5,1.3,0.5
Kyle Guy,1m85,24,19,3.9,0.9,0.9
KZ Okpala,2m03,22,21,3.7,2,0.7
Chris Silva,2m07,25,9,2.9,3.9,0.8
Udonis Haslem,2m07,41,13,2.5,1.9,0.3
Haywood Highsmith,1m96,25,19,2.3,1.4,0.3
Marcus Garrett,1m97,23,12,1.1,1.9,0.6
