Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Steve Smith,2m04,27,10,18.9,3.9,1.7
Christian Laettner,2m12,27,10,17.6,7.2,2.6
Mookie Blaylock,1m86,29,10,16.4,7,6.5
Dikembe Mutombo,2m19,30,10,15.4,12.3,1.3
Tyrone Corbin,1m99,34,10,10.6,4.3,2
Alan Henderson,2m07,24,10,5.8,3.3,0
Eldridge Recasner,1m91,29,10,3.1,1.1,0.9
Henry James,2m04,31,8,1,0.1,0.3
Darrin Hancock,2m01,25,6,0.7,0.8,0.2
Jon Barry,1m96,27,2,0,0,0
Priest Lauderdale,2m24,23,3,0,0.7,0
Ivano Newbill,2m09,26,3,0,0.3,0.3
