Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tim Hardaway,1m84,30,17,18.7,4.1,7
Alonzo Mourning,2m09,26,17,17.8,10.2,1.1
Voshon Lenard,1m94,23,17,11.4,2.9,2.1
Jamal Mashburn,2m04,24,17,10.5,4.9,2.1
P.J. Brown,2m12,27,15,8.1,8.6,0.7
Dan Majerle,1m99,31,17,8,4.2,2.5
Isaac Austin,2m09,27,15,6.5,4.4,0.4
Willie Anderson,2m03,29,9,3.7,1.9,0.6
Keith Askins,2m04,29,12,2.5,2.3,0.6
John Crotty,1m86,27,15,2.5,0.7,0.7
Mark Strickland,2m09,26,4,2,0.8,0.3
Ed Pinckney,2m06,33,2,2,0,0.5
