Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Karl Malone,2m07,33,20,26,11.4,2.9
John Stockton,1m86,34,20,16.1,3.9,9.6
Jeff Hornacek,1m93,33,20,14.6,4.5,3.7
Bryon Russell,2m01,26,20,12.3,4.6,1.4
Howard Eisley,1m89,24,20,5.6,0.9,2
Antoine Carr,2m07,35,20,4.9,2,0.5
Greg Ostertag,2m19,23,20,4.7,6.9,0.3
Shandon Anderson,1m99,23,18,4.6,2.7,0.7
Greg Foster,2m12,28,20,4.2,2.8,0.6
Chris Morris,2m03,30,20,2.9,1.6,0.3
Stephen Howard,2m07,26,5,1.8,0.2,0
Adam Keefe,2m07,26,8,1,2,0.3
