Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Hakeem Olajuwon,2m14,33,16,23.1,10.9,3.4
Clyde Drexler,2m01,34,16,18.1,5.6,4.8
Charles Barkley,1m99,33,16,17.9,12,3.4
Mario Elie,1m96,33,16,11.5,3.5,3.8
Matt Maloney,1m91,25,16,11.2,1.2,3.1
Eddie Johnson,2m01,37,16,8.3,2.3,0.6
Kevin Willis,2m14,34,16,6.4,4.7,0.7
Sedale Threatt,1m88,35,16,3.7,1.1,3
Matt Bullard,2m09,29,2,3,1,0
Randy Livingston,1m94,21,2,1.5,0,2
Othella Harrington,2m07,22,7,1.3,0.6,0
Charles Jones,2m05,39,1,0,0,1
