Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kirk Hinrich,1m91,23,6,21.2,3.7,5.8
Ben Gordon,1m86,21,6,14.5,2.7,2.5
Andres Nocioni,2m03,25,6,12.8,8.2,2.3
Tyson Chandler,2m13,22,6,11.7,9.7,1.3
Jannero Pargo,1m86,25,5,10.4,1,2
Antonio Davis,2m07,36,6,9.5,6.8,1.8
Othella Harrington,2m07,30,6,8,2.5,0.5
Adrian Griffin,1m96,30,5,6.8,4,1.8
Chris Duhon,1m85,22,6,6.2,4.3,3.5
Eric Piatkowski,2m01,34,5,4.6,1.8,0.6
Lawrence Funderburke,2m06,34,5,0.6,0.6,0.2
Jared Reiner,2m13,22,3,0,1,0
