Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Dirk Nowitzki,2m14,26,13,23.7,10.1,3.3
Jason Terry,1m89,27,13,17.5,4.2,4.6
Jerry Stackhouse,1m99,30,13,16.1,4.1,2.3
Josh Howard,1m98,24,13,15.5,7.4,1.8
Michael Finley,2m01,31,13,13.1,4.3,2.2
Keith Van Horn,2m09,29,3,7.3,2,0.3
Erick Dampier,2m12,29,13,7,7.5,0.5
Marquis Daniels,1m98,23,11,6.5,3.1,1.3
Devin Harris,1m89,21,9,2.4,1.2,1.2
Alan Henderson,2m07,32,9,2,1.9,0
Darrell Armstrong,1m86,36,9,2,0.4,1
Shawn Bradley,2m29,32,7,1.3,0.9,0
