Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Stephen Jackson,2m04,26,13,16.1,3.8,2.2
Jermaine O'Neal,2m12,26,13,16,8,2.2
Reggie Miller,2m01,39,13,14.8,3.1,1.5
Jamaal Tinsley,1m91,26,9,8.7,3.3,5.7
Anthony Johnson,1m91,30,13,7,2.9,5.1
Jeff Foster,2m12,27,13,5.9,7.4,0.4
Dale Davis,2m12,35,13,5.3,6.2,0.4
Fred Jones,1m93,25,13,4.1,1.8,1
James Jones,2m04,24,13,4,2.1,0.8
Edward Gill,1m83,26,7,3.4,0.6,0.7
Austin Croshere,2m07,29,10,2.5,1.7,0
Scot Pollard,2m12,29,9,1.4,1.2,0.1
