Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Richard Hamilton,1m99,26,25,20,4.3,4.3
Chauncey Billups,1m91,28,25,18.7,4.3,6.5
Rasheed Wallace,2m12,30,25,13.6,6.9,1.3
Tayshaun Prince,2m05,24,25,13.4,6.3,3.3
Ben Wallace,2m07,30,25,10,11.3,1
Antonio McDyess,2m07,30,25,8,5.9,0.8
Lindsey Hunter,1m89,34,25,3.8,1.6,1.6
Carlos Arroyo,1m88,25,19,2.1,0.5,2.1
Elden Campbell,2m14,36,10,1.2,1.8,0.5
Darko Milicic,2m12,19,9,0.6,0.4,0.1
Darvin Ham,2m01,31,13,0.3,0.2,0
Ronald Dupree,2m01,23,14,0.3,0.4,0
