Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tim Duncan,2m14,28,23,23.6,12.4,2.7
Manu Ginobili,2m01,27,23,20.8,5.8,4.2
Tony Parker,1m86,22,23,17.2,2.9,4.3
Robert Horry,2m09,34,23,9.3,5.4,2
Nazr Mohammed,2m09,27,23,7.1,6.7,0.3
Brent Barry,1m99,33,23,6.1,2.4,1.9
Bruce Bowen,2m01,33,23,5.7,2.9,1.6
Glenn Robinson,2m01,31,13,3.8,1.6,0.1
Beno Udrih,1m92,22,21,3.7,0.8,1
Devin Brown,1m95,26,12,1.8,0.6,0.3
Radoslav Nesterovic,2m14,28,15,0.7,1.7,0.1
Tony Massenburg,2m07,37,9,0.3,1.2,0
