Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Giannis Antetokounmpo,2m11,26,21,30.2,12.8,5.1
Khris Middleton,2m02,29,23,23.6,7.6,5.1
Jrue Holiday,1m90,30,23,17.3,5.7,8.7
Brook Lopez,2m13,32,23,13,5.9,0.3
Bobby Portis,2m05,25,20,8.8,5,0.6
Pat Connaughton,1m96,27,23,6.9,4.4,0.9
Bryn Forbes,1m92,27,20,6.6,1.4,0.3
P.J. Tucker,1m98,35,23,4.3,4.8,1.1
Jordan Nwora,2m03,22,5,3,1.8,0.2
Donte DiVincenzo,1m93,23,3,2.7,6.3,2.7
Jeff Teague,1m88,32,16,2,0.5,0.8
Elijah Bryant,1m96,25,11,1.3,1.1,0.4
Axel Toupane,2m01,28,4,1.3,1,0
Justin Jackson,2m03,25,5,1.2,0.4,0.2
Mamadi Diakite,2m06,23,7,1,1,0
Thanasis Antetokounmpo,2m01,28,13,0.7,0.8,0.2
Sam Merrill,1m95,24,8,0.6,0.6,0.1
