Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jayson Tatum,2m05,23,24,25.6,6.7,6.2
Jaylen Brown,2m00,25,24,23.1,6.9,3.5
Marcus Smart,1m92,27,21,15.4,4.5,5.9
Al Horford,2m03,35,23,12,9.3,3.3
Grant Williams,2m01,23,24,8.6,3.8,0.8
Derrick White,1m93,27,23,8.5,3,2.7
Robert Williams,2m09,24,17,7.7,6.2,1
Payton Pritchard,1m85,23,24,4.8,1.9,1.6
Daniel Theis,2m00,29,16,4.3,3.3,0.7
Nik Stauskas,1m98,28,13,1,0.3,0.3
Malik Fitts,2m03,24,9,0.9,0.2,0
Aaron Nesmith,1m97,22,15,0.8,1,0.2
Luke Kornet,2m18,26,9,0.8,0.6,0.1
Sam Hauser,2m01,24,7,0.7,0.1,0.3
Juwan Morgan,2m01,24,9,0.1,0.3,0
