Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jimmy Butler,2m00,33,22,26.9,6.5,5.9
Bam Adebayo,2m09,25,23,17.9,9.9,3.7
Gabe Vincent,1m91,26,22,12.7,1.4,3.5
Caleb Martin,1m96,27,23,12.7,5.4,1.6
Tyler Herro,1m96,22,1,12,2,2
Victor Oladipo,1m97,30,2,11.5,3.5,1
Max Strus,1m97,26,23,9.3,3.6,1.4
Kyle Lowry,1m85,36,23,9.2,3.5,4.4
Duncan Robinson,2m03,28,23,9,1.5,1.7
Kevin Love,2m08,34,20,6.9,5.6,1.2
Haywood Highsmith,1m96,26,18,3.3,1.3,0.3
Cody Zeller,2m11,30,21,2.2,2.3,0.3
Omer Yurtseven,2m09,24,8,0.5,0.6,0.1
Nikola Jovic,2m08,19,7,0.3,0.7,0
Udonis Haslem,2m07,42,2,0,0.5,0
