Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Luka Doncic,2m01,24,22,28.9,9.5,8.1
Kyrie Irving,1m94,31,22,22.1,3.7,5.1
P.J. Washington,2m03,25,22,13,6.6,1.4
Derrick Jones,2m00,26,22,9.1,3.5,1.2
Daniel Gafford,2m11,25,22,9,5.5,0.7
Dereck Lively,2m16,19,21,7.9,7.4,1.3
Josh Green,1m98,23,22,5,2.5,1
Tim Hardaway Jr.,1m98,31,14,4.4,1.8,0.4
Jaden Hardy,1m93,21,19,4.2,0.8,0.9
Maximilian Kleber,2m08,31,13,3.7,1.9,1
Markieff Morris,2m08,34,1,3,4,0
Dante Exum,1m93,28,21,2,0.8,0.6
A.J. Lawson,2m00,23,10,1.1,0.3,0
Dwight Powell,2m09,32,12,0.5,1,0.3
Olivier-Maxence Prosper,2m03,21,3,0,1,0.3
