Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Nikola Jokic,2m09,27,20,30,13.5,9.5
Jamal Murray,1m94,25,20,26.1,5.7,7.1
Michael Porter,2m08,24,20,13.4,8.1,1.6
Aaron Gordon,2m05,27,20,13.3,6,2.6
Bruce Brown,1m97,26,20,12,4,1.9
Kentavious Caldwell-Pope,1m95,29,20,10.6,3.3,1.6
Jeff Green,2m03,36,20,4.1,1.6,0.7
Christian Braun,1m98,21,19,3.2,2.1,0.6
DeAndre Jordan,2m13,34,4,1.3,1,0.3
Zeke Nnaji,2m10,21,5,1,0.4,0
Peyton Watson,2m07,20,5,1,0.8,0.2
Reggie Jackson,1m91,32,6,0.5,0.3,0.3
Ishmael Smith,1m85,34,4,0.5,0.3,0.3
Thomas Bryant,2m08,25,1,0,0,0
Vlatko Cancar,2m03,25,5,0,0.6,0.2
