Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Devin Booker,1m98,24,22,27.3,5.6,4.5
Chris Paul,1m81,35,20,19.2,3.5,8.6
Deandre Ayton,2m09,22,22,15.8,11.8,1.1
Mikal Bridges,2m01,24,22,11.1,4.3,1.6
Jae Crowder,2m00,30,22,10.8,6.1,1.9
Cameron Payne,1m88,26,22,9.3,2.5,3.2
Cameron Johnson,2m03,24,21,8.2,3.1,0.8
Dario Saric,2m07,26,14,4.5,2.5,1
Torrey Craig,1m98,30,22,4,2.9,0.4
E'Twaun Moore,1m95,31,7,2.4,1.4,1.3
Frank Kaminsky,2m11,27,10,2.2,1.4,1.4
Ty-Shon Alexander,1m92,22,1,2,0,0
Langston Galloway,1m89,29,2,1,1,0.5
Jevon Carter,1m88,25,7,0.9,0.3,0.6
Jalen Smith,2m08,20,6,0.8,0.8,0.2
Abdel Nader,1m98,27,5,0.8,1,0
