Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Stephen Curry,1m90,33,22,27.4,5.2,5.9
Klay Thompson,2m01,31,22,19,3.9,2.3
Jordan Poole,1m92,22,22,17,2.8,3.8
Andrew Wiggins,1m98,26,22,16.5,7.5,1.8
Draymond Green,2m00,31,22,8,7.2,6.3
Gary Payton II,1m90,29,12,6.5,3.1,1.3
Kevon Looney,2m06,25,22,5.8,7.6,2.2
Otto Porter,2m06,28,19,5.4,3.4,1.8
Jonathan Kuminga,2m03,19,16,5.2,1.7,0.5
Moses Moody,1m98,19,13,3.2,0.6,0.3
Nemanja Bjelica,2m09,33,15,2.9,2.1,1.1
Damion Lee,1m98,29,16,2,1.6,0.4
Andre Iguodala,1m98,37,7,1.6,1,1.7
Juan Toscano-Anderson,1m98,28,14,0.8,0.7,0.6
