Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Joel Embiid,2m13,29,39,34.7,11,5.6
Tyrese Maxey,1m91,23,70,25.9,3.7,6.2
Tobias Harris,2m05,31,70,17.2,6.5,3.1
Kelly Oubre,2m01,28,68,15.4,5,1.5
Buddy Hield,1m93,31,32,12.2,3.2,3
De'Anthony Melton,1m94,25,38,11.1,3.7,3
Cameron Payne,1m88,29,31,9.3,1.8,3.1
Kyle Lowry,1m85,37,23,8,2.8,4.6
Paul Reed,2m05,24,82,7.3,6,1.3
Marcus Morris,2m05,34,37,6.7,2.9,0.7
Patrick Beverley,1m85,35,47,6.3,3.1,3.1
Nicolas Batum,2m03,35,57,5.5,4.2,2.2
Ricky Council IV,1m97,22,32,5.4,1.4,0.5
D.J. Wilson,2m08,27,2,5,1,1
Robert Covington,2m06,33,26,4.5,3.4,0.7
Mohamed Bamba,2m12,25,57,4.4,4.2,0.7
Jeff Dowtin,1m91,26,12,4.3,1.7,2.3
Danuel House,2m01,30,34,4.2,1.7,0.8
Jaden Springer,1m93,21,32,4,1.8,1.1
Kenyon Martin,1m98,22,58,3.7,2.2,0.9
Terquavion Smith,1m94,21,16,3.3,0.3,0.8
Furkan Korkmaz,1m97,26,35,2.5,0.9,0.7
P.J. Tucker,1m98,38,3,2,4.7,0
Kenny Lofton,2m00,21,2,1,1.5,0
Danny Green,1m98,36,2,0,1,0.5
Darius Bazley,2m06,23,3,0,0.3,0.7
Javonte Smart,1m93,24,1,0,0,0
Filip Petrusev,2m11,23,1,0,1,0
