Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Giannis Antetokounmpo,2m11,29,73,30.4,11.5,6.5
Damian Lillard,1m91,33,73,24.3,4.4,7
Khris Middleton,2m02,32,55,15.1,4.7,5.3
Bobby Portis,2m05,28,82,13.8,7.4,1.3
Brook Lopez,2m13,35,79,12.5,5.2,1.6
Malik Beasley,1m96,27,79,11.3,3.7,1.4
Jae Crowder,2m00,33,50,6.2,3.2,1.3
Cameron Payne,1m88,29,47,6.2,1.3,2.3
Patrick Beverley,1m85,35,26,6,3.6,2.6
Pat Connaughton,1m96,30,76,5.6,3.1,2.1
A.J. Green,1m92,24,56,4.5,1.1,0.5
MarJon Beauchamp,1m98,23,48,4.4,2.1,0.6
Danilo Gallinari,2m04,35,17,2.8,1.1,0.7
Andre Jackson Jr.,1m97,22,57,2.2,2,0.9
Lindell Wigginton,1m88,25,3,2,0,0
TyTy Washington,1m91,22,11,1.3,0.5,0.5
Chris Livingston,1m97,20,21,1.2,1,0.2
Robin Lopez,2m13,35,16,1.1,0.3,0.3
Ryan Rollins,1m92,21,3,1,0.7,1
Thanasis Antetokounmpo,2m01,31,34,0.9,0.4,0.5
Marques Bolden,2m08,25,2,0,1,0
