Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Donovan Mitchell,1m91,27,55,26.6,5.1,6.1
Darius Garland,1m88,23,57,18,2.7,6.5
Jarrett Allen,2m09,25,77,16.5,10.5,2.7
Evan Mobley,2m13,22,50,15.7,9.4,3.2
Caris LeVert,1m98,29,68,14,4.1,5.1
Max Strus,1m97,27,70,12.2,4.8,4
Isaac Okoro,1m99,22,69,9.4,3,1.9
Georges Niang,2m01,30,82,9.4,3.4,1.2
Sam Merrill,1m95,27,61,8,2,1.8
Marcus Morris,2m05,34,12,5.8,2.1,0.8
Craig Porter,1m87,23,51,5.6,2.1,2.3
Dean Wade,2m09,27,54,5.4,4,0.8
Tristan Thompson,2m03,32,49,3.3,3.6,1
Damian Jones,2m08,28,39,2.7,1.6,0.4
Emoni Bates,2m06,19,15,2.7,0.9,0.7
Isaiah Mobley,2m07,24,10,2.3,1,0.6
Ty Jerome,1m97,26,2,2,0.5,1.5
Pete Nance,2m07,23,8,0.4,0.4,0
