Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
James Harden,1m96,36,11,25,6.3,9.1
Kawhi Leonard,2m03,34,6,24.3,5.5,3.5
Ivica Zubac,2m11,28,12,16.2,10.6,2.3
Jordan Miller,1m97,25,2,12,3,0.5
John Collins,2m09,28,12,11.6,4.8,0.8
Derrick Jones,2m00,28,12,10.9,2.5,1.2
Bogdan Bogdanovic,1m97,33,6,9.5,3.2,3.2
Bradley Beal,1m93,32,6,8.2,0.8,1.7
Kris Dunn,1m91,31,12,7.3,2.4,2.2
Brook Lopez,2m13,37,12,6.8,2.3,0.4
Cam Christie,1m98,20,8,5.5,1.9,1
Yanic Niederhauser,2m09,22,5,3.8,1.2,0.4
Nicolas Batum,2m03,37,12,3.5,2.6,0.8
Kobe Sanders,2m03,24,4,3.5,0.8,1.3
Chris Paul,1m81,40,8,2.3,1.8,3.6
Kobe Brown,2m00,,7,2.1,2.1,1
Jahmyl Telfort,2m00,24,3,0.3,0.7,0.3
