Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Trae Young,1m89,25,54,25.7,2.8,10.8
Dejounte Murray,1m96,27,78,22.5,5.3,6.4
Bogdan Bogdanovic,1m97,31,79,16.9,3.4,3.1
Jalen T. Johnson,2m06,22,56,16,8.7,3.6
De'Andre Hunter,2m01,26,57,15.6,3.9,1.5
Saddiq Bey,2m01,24,63,13.7,6.5,1.5
Clint Capela,2m03,29,73,11.5,10.6,1.2
Onyeka Okongwu,2m05,23,55,10.2,6.8,1.3
Bruno Fernando,2m06,25,45,6.3,4.3,1
Vit Krejci,2m03,23,22,6.1,2.4,2.3
Garrison Mathews,1m95,27,66,4.9,1.4,0.6
Kobe Bufkin,1m94,20,17,4.8,1.9,1.6
Dylan Windler,2m01,27,6,4.7,2,0.5
Mouhamed Gueye,2m10,21,6,4,3.7,0.7
Wesley Matthews,1m96,37,36,3.1,1.5,0.6
Patty Mills,1m80,35,19,2.7,1.1,0.7
AJ Griffin,1m98,20,20,2.4,0.9,0.3
Trent Forrest,1m94,25,38,2.2,1.3,2.4
Seth Lundy,1m97,23,9,1.6,0.8,0
