Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Tyler Herro,1m96,23,42,20.8,5.3,4.5
Jimmy Butler,2m00,34,60,20.8,5.3,5
Bam Adebayo,2m09,26,71,19.3,10.4,3.9
Terry Rozier,1m85,29,31,16.4,4.2,4.6
Duncan Robinson,2m03,29,68,12.9,2.5,2.8
Jaime Jaquez,1m97,22,75,11.9,3.8,2.6
Caleb Martin,1m96,28,64,10,4.4,2.2
Josh Richardson,1m98,30,43,9.9,2.8,2.4
Kevin Love,2m08,35,55,8.8,6.1,2.1
Kyle Lowry,1m85,37,37,8.2,3.5,4
Nikola Jovic,2m08,20,46,7.7,4.2,2
Haywood Highsmith,1m96,27,66,6.1,3.2,1.1
Patty Mills,1m80,35,13,5.8,1.2,1.5
Thomas Bryant,2m08,26,38,5.7,3.7,0.6
Delon Wright,1m96,31,14,5.4,1.9,2.6
Dru Smith,1m90,26,9,4.3,1.6,1.6
Jamal Cain,2m01,24,26,3.7,1.4,0.4
Orlando Robinson,2m13,23,36,2.8,2.3,0.9
Cole Swider,2m02,24,18,2.3,0.4,0.3
R.J. Hampton,1m96,22,8,1.3,0.8,1
Alondes Williams,1m95,24,7,0.7,0.1,0
