Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Lauri Markkanen,2m13,26,55,23.2,8.2,2
Collin Sexton,1m90,24,78,18.7,2.6,4.9
Jordan Clarkson,1m98,31,55,17.1,3.4,5
John Collins,2m09,26,68,15.1,8.5,1.1
Kenny Lofton,2m00,21,4,13.8,5,4.8
Keyonte George,1m93,20,75,13,2.8,4.4
Talen Horton-Tucker,1m93,23,51,10.1,2.4,3.5
Simone Fontecchio,2m03,28,50,8.9,3.5,1.5
Kelly Olynyk,2m13,32,50,8.1,5.1,4.4
Walker Kessler,2m13,22,64,8.1,7.5,0.9
Darius Bazley,2m06,23,6,8,4.5,0.8
Brice Sensabaugh,1m97,20,32,7.5,3.2,1.7
Taylor Hendricks,2m05,20,40,7.3,4.6,0.8
Johnny Juzang,1m97,22,20,7.2,1.8,1.2
Kris Dunn,1m91,29,66,5.4,2.9,3.8
Ochai Agbaji,1m96,23,51,5.4,2.5,0.9
Omer Yurtseven,2m09,25,48,4.6,4.3,0.6
Luka Samanic,2m08,23,43,4.1,2.4,0.4
Kira Lewis,1m90,22,12,3.8,1,1.6
Micah Potter,2m07,25,16,3.3,2.7,0.4
Jason Preston,1m93,24,7,1.7,2.4,2.3
