Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
De'Aaron Fox,1m91,26,74,26.6,4.6,5.6
Domantas Sabonis,2m08,27,82,19.4,13.7,8.2
Malik Monk,1m91,25,72,15.4,2.9,5.1
Keegan Murray,2m02,23,77,15.2,5.5,1.7
Harrison Barnes,2m05,31,82,12.2,3,1.2
Kevin Huerter,2m01,25,64,10.2,3.5,2.6
Trey Lyles,2m09,28,58,7.2,4.4,1.2
Keon Ellis,1m97,23,57,5.4,2.2,1.5
Sasha Vezenkov,2m06,28,42,5.4,2.3,0.5
Davion Mitchell,1m88,25,72,5.3,1.3,1.9
JaVale McGee,2m13,35,46,4,2.7,0.4
Chris Duarte,1m98,26,59,3.9,1.8,0.7
Alex Len,2m15,30,48,2.5,2.7,1
Colby Jones,1m95,21,30,2.1,1.3,0.7
Jordan Ford,1m85,25,6,2,0.3,0.3
Kessler Edwards,2m03,23,54,1.7,0.8,0.3
Filip Petrusev,2m11,23,2,1.5,0,0
Mason Jones,1m95,25,5,1.4,1,1
Jalen Slawson,2m00,24,12,0.7,0.6,0.2
Juan Toscano-Anderson,1m98,30,11,0.6,1.3,0.4
