Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jalen Brunson,1m87,27,77,28.7,3.6,6.7
Julius Randle,2m04,29,46,24,9.2,5
R.J. Barrett,2m02,23,26,18.2,4.3,2.4
Donte DiVincenzo,1m93,26,81,15.5,3.7,2.7
Immanuel Quickley,1m94,24,30,15,2.6,2.5
Ogugua Anunoby,2m04,26,23,14.1,4.4,1.5
Bojan Bogdanovic,2m00,34,29,10.4,2,0.9
Josh Hart,1m96,28,81,9.4,8.3,4.1
Miles McBride,1m88,23,68,8.3,1.5,1.7
Isaiah Hartenstein,2m13,25,75,7.8,8.3,2.5
Precious Achiuwa,2m06,24,49,7.6,7.2,1.1
Quentin Grimes,1m97,23,45,7.3,2,1.2
Alec Burks,1m98,32,23,6.5,1.7,0.9
Mitchell Robinson,2m16,25,31,5.6,8.5,0.6
Evan Fournier,1m99,31,3,4,1.3,1
Malachi Flynn,1m84,25,14,2.2,0.4,0.4
Jericho Sims,2m06,25,45,2,3.3,0.6
Shake Milton,1m98,27,6,1.8,1,0.7
Jacob Toppin,2m00,23,9,1.4,0.8,0.3
Taj Gibson,2m05,38,16,1,1.8,0.6
Dylan Windler,2m01,27,3,1,0.3,0.3
Daquan Jeffries,1m95,26,17,0.8,0.3,0.3
Charles Brown,1m98,26,8,0.8,0.3,0
Dmytro Skapintsev,2m06,25,2,0,0,0
Mamadi Diakite,2m06,26,3,0,0.3,0
Ryan Arcidiacono,1m91,29,20,0,0.4,0.2
