Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LeBron James,2m03,39,71,25.7,7.3,8.3
Anthony Davis,2m09,30,76,24.7,12.6,3.5
D'Angelo Russell,1m96,27,76,18,3.1,6.3
Austin Reaves,1m96,25,82,15.9,4.3,5.5
Rui Hachimura,2m03,25,68,13.6,4.3,1.2
Taurean Prince,2m01,29,78,8.9,2.9,1.5
Christian Wood,2m11,28,50,6.9,5.1,1
Spencer Dinwiddie,1m98,30,28,6.8,1.7,2.4
Cameron Reddish,2m03,24,48,5.4,2.1,1
Jarred Vanderbilt,2m08,24,29,5.2,4.8,1.2
Jaxson Hayes,2m13,23,70,4.3,3,0.5
Max Christie,1m93,20,67,4.2,2.1,0.9
Gabe Vincent,1m91,27,11,3.1,0.8,1.9
D'Moi Hodge,1m92,25,7,2,0,0.7
Jalen Hood,1m97,20,21,1.6,0.6,0.4
Dylan Windler,2m01,27,8,1.5,0.4,0.8
Colin Castleton,2m11,23,16,1.5,0.8,0.2
Skylar Mays,1m93,26,17,1.3,0.4,0.6
Alex Fudge,2m02,20,4,1,0.5,0
Maxwell Lewis,2m00,21,34,0.3,0.1,0.2
Harry Giles,2m08,25,7,0.3,0.6,0
