Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Luka Doncic,2m01,24,70,33.9,9.2,9.8
Kyrie Irving,1m94,31,58,25.6,5,5.2
Tim Hardaway Jr.,1m98,31,79,14.4,3.2,1.8
P.J. Washington,2m03,25,29,11.7,6.2,1.5
Daniel Gafford,2m11,25,29,11.2,6.9,1.6
Dereck Lively,2m16,19,55,8.8,6.9,1.1
Derrick Jones,2m00,26,76,8.6,3.3,1
Josh Green,1m98,23,57,8.2,3.2,2.3
Grant Williams,2m01,25,47,8.1,3.6,1.7
Dante Exum,1m93,28,55,7.8,2.7,2.9
Jaden Hardy,1m93,21,73,7.3,1.8,1.5
Dexter Dennis,1m95,24,4,5.5,2.3,1
Alex Fudge,2m02,20,2,5.5,1.5,0
Maximilian Kleber,2m08,31,43,4.4,3.3,1.6
Seth Curry,1m87,33,36,4.3,1.4,0.8
Richaun Holmes,2m06,30,23,3.4,3.4,0.7
Dwight Powell,2m09,32,63,3.3,3.4,1.3
A.J. Lawson,2m00,23,42,3.2,1.2,0.5
Brandon Williams,1m88,24,17,3.2,0.8,1
Olivier-Maxence Prosper,2m03,21,40,3,2,0.6
Markieff Morris,2m08,34,26,2.5,1.5,0.6
Greg Brown III,2m06,22,6,2.5,1.5,0.7
