Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Cam Thomas,1m93,22,66,22.5,3.2,2.9
Mikal Bridges,2m01,27,82,19.6,4.5,3.6
Dennis Schroder,1m81,30,29,14.6,3.5,6
Cameron Johnson,2m03,27,58,13.4,4.3,2.4
Spencer Dinwiddie,1m98,30,48,12.6,3.3,6
Nic Claxton,2m11,24,71,11.8,9.9,2.1
Lonnie Walker,1m92,25,58,9.7,2.2,1.3
Dorian Finney-Smith,2m03,30,68,8.5,4.7,1.6
Royce O'Neale,1m98,30,49,7.4,4.5,2.8
Trendon Watford,2m06,23,63,6.9,3.1,1.3
Day'Ron Sharpe,2m11,22,61,6.8,6.4,1.4
Dennis Smith,1m91,26,56,6.6,2.9,3.6
Keon Johnson,1m96,21,5,6.2,1.4,0.6
Ben Simmons,2m08,27,15,6.1,7.9,5.7
Noah Clowney,2m07,20,23,5.8,3.5,0.8
Jalen Wilson,2m02,23,43,5,3,1
Armoni Brooks,1m90,25,10,4.2,1.8,0.5
Harry Giles,2m08,25,16,3.4,1.6,0.4
Keita Bates-Diop,2m03,27,14,1.6,0.6,0.3
Dariq Whitehead,1m98,19,2,1.5,2,1.5
Jacob Gilyard,1m74,25,4,0,0.8,1.5
