Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Cade Cunningham,2m03,22,62,22.7,4.3,7.5
Bojan Bogdanovic,2m00,34,28,20.2,3.4,2.5
Simone Fontecchio,2m03,28,16,15.4,4.4,1.8
Jaden Ivey,1m92,21,77,15.4,3.4,3.8
Jalen Duren,2m11,20,61,13.8,11.6,2.4
Alec Burks,1m98,32,43,12.6,2.6,1.6
Isaiah Stewart,2m06,22,46,10.9,6.6,1.6
Chimezie Metu,2m11,26,14,10.5,6,1.9
Marvin Bagley,2m11,24,26,10.2,4.5,1
Ausar Thompson,2m01,,63,8.8,6.4,1.9
Danilo Gallinari,2m04,35,6,8.7,2.3,2
Marcus Sasser,1m84,23,71,8.3,1.8,3.3
Malachi Flynn,1m84,25,24,8,1.8,2.1
Jaylen Nowell,1m93,24,4,7.5,2.5,0.8
Kevin Knox,2m00,24,31,7.2,2.4,0.7
Evan Fournier,1m99,31,29,7.2,1.9,1.6
James Wiseman,2m16,22,63,7.1,5.3,0.9
Tosan Evbuomwan,2m01,22,13,7,3.5,0.8
Killian Hayes,1m92,22,42,6.9,2.8,4.9
Shake Milton,1m98,27,4,6.8,4.5,1.5
Quentin Grimes,1m97,23,6,5.3,2,2.3
Stanley Umude,1m97,,24,5.3,2.1,0.5
Isaiah Livers,2m01,25,23,5,2.1,1.1
Jared Rhoden,1m98,24,17,4.9,1.9,0.8
Taj Gibson,2m05,38,4,4.5,2.3,0.5
Monte Morris,1m89,28,6,4.5,2,1.3
Troy Brown,1m98,24,22,4.2,3.3,1.1
Mike Muscala,2m10,32,13,3.5,2.2,0.8
Buddy Boeheim,1m96,24,10,3.4,1,0.3
Joe Harris,1m98,32,16,2.4,0.8,0.6
Malcolm Cazalon,1m98,22,1,0,0,0
