Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Pascal Siakam,2m06,29,39,22.2,6.3,4.9
R.J. Barrett,2m02,23,32,21.8,6.4,4.1
Scottie Barnes,2m06,22,60,19.9,8.2,6.1
Immanuel Quickley,1m94,24,38,18.6,4.8,6.8
Ogugua Anunoby,2m04,26,27,15.1,3.9,2.7
Gary Trent Jr.,1m95,24,71,13.7,2.6,1.7
Dennis Schroder,1m81,30,51,13.7,2.7,6.1
Kelly Olynyk,2m13,32,28,12.7,5.6,4.6
Jakob Poeltl,2m13,28,50,11.1,8.6,2.5
Bruce Brown,1m97,27,34,9.6,3.8,2.7
Gradey Dick,2m02,20,60,8.5,2.2,1.1
Jordan Nwora,2m03,25,34,7.9,3.4,1.3
Precious Achiuwa,2m06,24,25,7.7,5.4,1.8
Javon Freeman-Liberty,1m90,24,22,7,3.2,1.8
Jahmi'us Ramsey,1m92,22,7,6.7,3.1,1.1
Ochai Agbaji,1m96,23,27,6.7,3.3,1.3
Chris Boucher,2m08,30,50,6.4,4.1,0.5
Malachi Flynn,1m84,25,31,5.1,2.1,2.4
Kobi Simmons,1m97,26,4,5,1.8,3
Thaddeus Young,2m03,35,23,5,3.3,2.2
Jontay Porter,2m11,24,26,4.4,3.2,2.3
Jalen McDaniels,2m08,25,50,3.4,1.6,0.7
Garrett Temple,1m95,37,27,3.3,1.7,1
D.J. Carton,1m87,23,4,2.8,1,0.8
Malik Williams,2m11,25,7,2.7,5.4,0.3
Otto Porter,2m06,30,15,2.6,1.9,0.5
Mouhamadou Gueye,2m05,25,11,2.4,2.1,0.5
Markquis Nowell,1m72,24,1,2,2,2
Ron Harper Jr.,1m97,23,1,0,0,1
Kira Lewis,1m90,22,1,0,0,0
