Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Alperen Sengun,2m08,21,63,21.1,9.3,5
Jalen Green,1m98,21,82,19.6,5.1,3.5
Fred Van Vleet,1m77,29,73,17.4,3.8,8.1
Jabari Smith Jr.,2m09,20,76,13.7,8.1,1.6
Dillon Brooks,1m96,27,72,12.7,3.4,1.7
Cam Whitmore,1m98,19,47,12.3,3.8,0.7
Tari Eason,2m01,22,22,9.8,7,1.2
Amen Thompson,2m01,,62,9.5,6.6,2.6
Aaron Holiday,1m85,27,78,6.6,1.6,1.8
Jeff Green,2m03,37,78,6.5,2.3,0.9
Jock Landale,2m13,28,56,4.9,3.1,1.2
Jae'Sean Tate,1m93,28,65,4.1,3,1
Boban Marjanovic,2m22,35,14,3.2,2.3,0.4
Jeenathan Williams,1m96,24,22,2.9,1,0.3
Nate Hinton,1m96,24,15,2.2,1.5,0.7
Reggie Bullock,2m00,32,44,2.2,1.7,0.3
Jermaine Samuels,1m97,25,14,1.4,0.9,0.2
