Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Victor Wembanyama,2m25,19,71,21.4,10.6,3.9
Devin Vassell,1m97,23,68,19.5,3.8,4.1
Keldon Johnson,1m98,24,69,15.7,5.5,2.8
Jeremy Sochan,2m06,20,74,11.6,6.4,3.4
Zach Collins,2m13,26,69,11.2,5.4,2.8
Tre Jones,1m91,23,77,10,3.8,6.2
Malaki Branham,1m96,20,75,9.2,2,2.1
RaiQuan Gray,2m03,24,3,7.7,2.3,2
Julian Champagnie,2m00,22,74,6.8,2.8,1.4
Cedi Osman,2m04,28,72,6.8,2.5,1.7
David Duke,1m95,24,4,6.5,2.5,1.3
Doug McDermott,2m01,31,46,6,1,1.2
Devonte Graham,1m88,28,23,5,1.6,2.1
Blake Wesley,1m96,20,61,4.4,1.5,2.7
Dominick Barlow,2m05,20,33,4.4,3.4,1.1
Sandro Mamukelashvili,2m11,24,46,4.1,3.2,1.1
Mamadi Diakite,2m06,26,3,4,1,0.7
Sidy Cissoko,1m98,19,12,3.8,1.8,0.8
Jamaree Bouyea,1m87,,3,3.7,3,1
Charles Bassey,2m11,23,19,3.3,4,1.1
