Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kyle Kuzma,2m06,28,70,22.2,6.6,4.2
Jordan Poole,1m92,24,78,17.4,2.7,4.4
Deni Avdija,2m05,22,75,14.7,7.2,3.8
Corey Kispert,2m01,24,80,13.4,2.8,2
Marvin Bagley,2m11,24,24,13.3,8,1.2
Tyus Jones,1m88,27,66,12,2.7,7.3
Daniel Gafford,2m11,25,45,10.9,8,1.5
Tristan Vukcevic,2m08,20,10,8.5,3.6,1.3
Bilal Coulibaly,1m99,19,63,8.4,4.1,1.7
Richaun Holmes,2m06,30,17,7.1,6.1,0.6
Landry Shamet,1m93,26,46,7.1,1.3,1.2
Danilo Gallinari,2m04,35,26,7,2.9,1.2
Jared Butler,1m91,23,40,6.3,1.5,3.2
Justin Champagnie,1m97,22,15,5.9,3.5,1.3
Eugene Omoruyi,2m00,26,43,4.8,2,0.8
Patrick Baldwin Jr.,2m08,21,38,4.4,3.2,0.8
Ryan Rollins,1m92,21,10,4.1,1.1,1.1
Delon Wright,1m96,31,33,4.1,1.8,2.5
Mike Muscala,2m10,32,24,4,3.1,0.9
Jules Bernard,1m97,23,19,3.9,1.4,0.8
Anthony Gill,2m04,31,50,3.8,1.9,0.7
Johnny Davis,1m92,21,50,3,1.4,0.6
Hamidou Diallo,1m99,25,2,1,1,0.5
Trey Jemison,2m12,24,2,0,0.5,0
