Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zach LaVine,1m96,29,42,24,4.8,4.5
Coby White,1m97,24,74,20.4,3.7,4.5
Nikola Vucevic,2m10,34,73,18.5,10.1,3.5
Josh Giddey,2m03,22,70,14.6,8.1,7.2
Kevin Huerter,2m01,26,26,13.2,3.3,3.2
Ayo Dosunmu,1m96,24,46,12.3,3.5,4.5
Tre Jones,1m91,24,18,11.5,3.2,4.9
Patrick Williams,2m02,23,63,9,3.8,2
Matas Buzelis,2m08,20,80,8.6,3.5,1
Zach Collins,2m13,27,28,8.6,6.7,2.1
Jalen Smith,2m08,24,64,8.2,5.6,1
Lonzo Ball,1m99,27,35,7.6,3.4,3.3
Torrey Craig,1m98,34,9,6.9,2.8,0.6
Talen Horton-Tucker,1m93,24,58,6.5,1.7,1.4
Julian Phillips,2m02,21,79,4.6,2.1,0.5
Dalen Terry,2m00,22,73,4.5,1.7,1.3
Jevon Carter,1m88,29,36,4.3,1.1,1.1
Chris Duarte,1m98,27,17,2.1,1.2,0.5
Adama Sanogo,2m00,22,4,2,1.5,0.3
Jahmir Young,1m84,24,6,1.8,0.5,1
E.J. Liddell,2m00,24,12,1.8,0.8,0.3
Emanuel Miller,2m00,24,6,1.7,1.3,0.3
