Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Jayson Tatum,2m05,26,72,26.8,8.7,6
Jaylen Brown,2m00,28,63,22.2,5.8,4.5
Kristaps Porzingis,2m18,29,42,19.5,6.8,2.1
Derrick White,1m93,30,76,16.4,4.5,4.8
Payton Pritchard,1m85,26,80,14.3,3.8,3.5
Jrue Holiday,1m90,34,62,11.1,4.3,3.9
Al Horford,2m03,38,60,9,6.2,2.1
Sam Hauser,2m01,27,71,8.5,3.2,0.9
Luke Kornet,2m18,29,73,6,5.3,1.6
Neemias Queta,2m13,25,62,5,3.8,0.7
Baylor Scheierman,1m97,24,31,3.6,2.1,1.1
Torrey Craig,1m98,34,17,2.7,2.8,0.7
Miles Norris,2m08,24,3,2.3,3,0
Drew Peterson,2m02,25,25,2.2,1.6,0.5
JD Davison,1m92,22,16,2.1,0.8,0.8
Jaden Springer,1m93,22,26,1.7,0.9,0.4
Jordan Walsh,2m00,20,52,1.6,1.3,0.4
Xavier Tillman,2m02,25,33,1,1.3,0.2
