Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Ja Morant,1m91,25,50,23.2,4.1,7.3
Jaren Jackson Jr.,2m09,25,74,22.2,5.6,2
Desmond Bane,1m96,26,69,19.2,6.1,5.3
Santiago Aldama,2m11,23,65,12.5,6.4,2.9
Jaylen Wells,2m03,21,79,10.4,3.4,1.7
Scotty Pippen Jr.,1m84,24,79,9.9,3.3,4.4
Zach Edey,2m20,22,66,9.2,8.3,1
Luke Kennard,1m96,28,65,8.9,2.8,3.3
Marcus Smart,1m92,30,19,8.7,2.3,3.7
Brandon Clarke,2m03,28,64,8.3,5.1,1
Jake LaRavia,2m01,23,47,7.3,4.4,2.8
Gregory Jackson,2m03,20,29,7.2,3.2,1
Jay Huff,2m16,27,64,6.9,2,0.6
Vince Williams Jr.,1m98,24,27,6.6,3.6,2
Lamar Stevens,1m98,27,17,4.4,2.2,0.5
Cam Spencer,1m92,24,25,4.2,1.2,1.4
Marvin Bagley,2m11,25,12,3.6,2.3,0.3
John Konchar,1m96,28,46,2.4,3.3,0.9
Yuki Kawamura,1m72,23,22,1.6,0.5,0.9
Colin Castleton,2m11,24,10,1.4,0.9,0
Zyon Pullin,1m92,,3,0,0,0
