Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
LaMelo Ball,2m00,23,47,25.2,4.9,7.4
Brandon Miller,2m05,22,27,21,4.9,3.6
Miles Bridges,2m01,26,64,20.3,7.5,3.9
Mark Williams,2m12,23,44,15.3,10.2,2.5
Tre Mann,1m96,23,13,14.1,2.9,3
Grant Williams,2m01,26,16,10.4,5.1,2.3
Nick Smith,1m95,20,60,9.9,2.1,2.4
Jusuf Nurkic,2m12,30,26,9.2,6.5,2.6
Nick Richards,2m12,27,21,8.9,7.5,1.3
Josh Okogie,1m94,26,15,8.9,2.7,1.3
Cody Martin,1m96,29,39,7.8,4.5,2.3
K.J. Simpson,1m88,22,36,7.8,3,3.1
Vasilije Micic,1m96,30,36,7.5,2.4,3.5
Josh Green,1m98,24,68,7.4,2.5,1.6
Damion Baugh,1m90,24,15,7.3,3.3,3.7
Jaylen Sims,1m97,26,6,7,1,2
Marcus Garrett,1m97,26,4,7,1.5,3.3
Daquan Jeffries,1m95,27,47,6.7,2.9,1.1
Seth Curry,1m87,34,68,6.5,1.7,0.9
Isaiah Wong,1m90,23,20,6,1.6,1.4
Tidjane Salaun,2m03,19,60,5.9,4.7,1.2
Moussa Diabate,2m08,22,71,5.7,6.2,0.8
Wendell Moore,1m97,23,16,5.4,3.2,1.2
Malachi Flynn,1m84,26,4,4,1.8,1.8
Taj Gibson,2m05,39,37,2.9,3.2,0.6
Elfrid Payton,1m91,30,6,1,2.2,3.3
Jared Rhoden,1m98,25,4,1,1,0.5
