Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Paolo Banchero,2m08,22,46,25.9,7.5,4.8
Franz Wagner,2m05,23,60,24.2,5.7,4.7
Jalen Suggs,1m94,23,35,16.2,4,3.7
Moritz Wagner,2m11,27,30,12.9,4.9,1.4
Anthony Black,2m01,20,78,9.4,2.9,3.1
Cole Anthony,1m91,24,67,9.4,3,2.9
Wendell Carter,2m09,25,68,9.1,7.2,2
Kentavious Caldwell-Pope,1m95,31,77,8.7,2.2,1.8
Tristan Da Silva,2m02,23,74,7.2,3.3,1.5
Goga Bitadze,2m12,25,70,7.2,6.6,2
Jonathan Isaac,2m06,27,71,5.4,4.4,0.6
Trevelin Queen,1m98,27,31,4.9,1.7,1.2
Jett Howard,2m00,21,60,4.5,1.2,0.7
Caleb Houstan,2m05,21,58,4.1,1.3,0.6
Cory Joseph,1m92,33,50,3.5,1.5,1.4
Gary Harris,1m93,30,48,3,1.3,0.6
Mac McClung,1m91,25,2,0,0.5,1.5
