Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Nikola Jokic,2m09,29,70,29.6,12.7,10.2
Jamal Murray,1m94,27,67,21.4,3.9,6
Michael Porter,2m08,26,77,18.2,7,2.1
Christian Braun,1m98,23,79,15.4,5.2,2.6
Aaron Gordon,2m05,29,51,14.7,4.8,3.2
Russell Westbrook,1m88,36,75,13.3,4.9,6.1
Julian Strawther,2m00,22,65,9,2.2,1.3
Peyton Watson,2m07,22,68,8.1,3.4,1.4
Jalen Pickett,1m92,25,49,4.1,1.4,2.2
DeAndre Jordan,2m13,36,56,3.7,5.1,0.9
Dario Saric,2m07,30,16,3.5,3.1,1.4
Zeke Nnaji,2m10,23,57,3.2,1.6,0.4
Hunter Tyson,2m02,24,51,2.6,1.5,0.4
Vlatko Cancar,2m03,27,13,1.8,2.5,0.7
P.J. Hall,2m07,22,19,1.7,1.2,0.2
Trey Alexander,1m95,21,24,1.3,0.5,0.5
Spencer Jones,2m00,23,20,1.3,0.9,0.3
