Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Pascal Siakam,2m06,30,78,20.2,6.9,3.4
Tyrese Haliburton,1m97,24,73,18.6,3.5,9.2
Bennedict Mathurin,2m01,22,72,16.1,5.3,1.9
Myles Turner,2m11,28,72,15.6,6.5,1.5
Aaron Nesmith,1m97,25,45,12,4,1.2
Obi Toppin,2m06,26,79,10.5,4,1.6
Andrew Nembhard,1m96,24,65,10,3.3,5
T.J. McConnell,1m86,32,79,9.1,2.4,4.4
Isaiah Jackson,2m08,22,5,7,5.6,1
Thomas Bryant,2m08,27,56,6.9,3.9,0.9
Jarace Walker,2m01,21,75,6.1,3.1,1.5
James Wiseman,2m16,23,1,6,1,0
Quenton Jackson,1m95,,28,5.8,1.6,1.9
Ben Sheppard,1m97,23,63,5.3,2.8,1.3
Tony Bradley,2m09,26,14,4.4,3,0.4
Moses Brown,2m18,25,9,3.2,1.4,0
Ray Dennis,1m87,,11,2.7,1.1,1.3
Enrique Freeman,2m00,24,22,2.1,1.4,0.4
Johnny Furphy,2m06,19,50,2.1,1.4,0.4
James Johnson,2m03,37,12,0.7,0.5,0.3
Tristen Newton,1m95,,5,0.6,0,0.2
Jahlil Okafor,2m11,29,1,0,1,1
