Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Zion Williamson,2m01,24,30,24.6,7.2,5.3
Brandon Ingram,2m03,27,18,22.2,5.6,5.2
Trey Murphy III,2m06,24,53,21.2,5.1,3.5
C.J. McCollum,1m92,33,56,21.1,3.8,4.1
Dejounte Murray,1m96,28,31,17.5,6.5,7.4
Jordan Hawkins,-,22,56,10.8,2.8,1.2
B.J. Boston,1m98,23,42,10.7,3.2,2.2
Kelly Olynyk,2m13,33,20,10.7,5.9,3.6
Jose Alvarado,1m83,26,56,10.3,2.4,4.6
Herbert Jones,2m01,41,20,10.3,3.9,3.3
Keion Brooks,2m00,24,14,10.1,4.1,0.9
Yves Missi,2m12,20,73,9.1,8.2,1.4
Lester Quinones,1m95,24,9,8.6,1.7,2.6
Jaylen Nowell,1m93,25,8,8.4,2.5,2.3
Bruce Brown,1m97,28,23,8.2,4.2,2.4
Karlo Matkovic,2m07,23,42,7.7,5,1.1
Antonio Reeves,1m92,22,44,6.9,1.4,0.9
Jeremiah Robinson-Earl,2m06,24,66,6.3,4.8,1.3
Javonte Green,1m93,31,50,5.8,3.6,0.9
Jamal Cain,2m01,25,37,5.3,2.3,0.6
Elfrid Payton,1m91,30,18,4.4,3.7,8.1
Daniel Theis,2m00,32,38,4.3,4.3,1.6
Kylor Kelley,2m13,27,3,3.3,6,1
Mohamed Bamba,2m12,26,4,2.5,6.3,0.5
Trey Jemison,2m12,25,16,2.4,2.8,0.6
