Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Kevin Durant,2m08,36,62,26.6,6,4.2
Devin Booker,1m98,28,75,25.6,4.1,7.1
Bradley Beal,1m93,31,53,17,3.3,3.7
Grayson Allen,1m93,29,64,10.6,3,2.1
Tyus Jones,1m88,28,81,10.2,2.4,5.3
Nick Richards,2m12,27,36,9.5,8.6,0.6
Royce O'Neale,1m98,31,75,9.1,4.7,2.2
Jusuf Nurkic,2m12,30,25,8.6,9.2,1.9
Ryan Dunn,2m00,21,74,6.9,3.6,0.8
Bol Bol,2m18,25,36,6.8,2.9,0.6
Josh Okogie,1m94,26,25,6,2.9,0.6
Collin Gillespie,1m90,25,33,5.9,2.4,2.4
Monte Morris,1m89,29,45,5.2,1.5,1.6
Mason Plumlee,2m10,34,74,4.5,6.1,1.8
Oso Ighodaro,2m05,22,61,4.2,3.6,1.2
Cody Martin,1m96,29,14,3.7,3.4,1.1
Damion Lee,1m98,32,25,3.3,0.8,0.4
TyTy Washington,1m91,23,16,2.2,0.8,1
Jalen Bridges,2m00,23,8,1.1,0.5,0
Vasilije Micic,1m96,30,5,0,0.4,0.2
