Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Shai Gilgeous-Alexander,1m98,26,76,32.7,5,6.4
Jalen Williams,1m97,23,69,21.6,5.3,5.1
Chet Holmgren,2m15,22,32,15,8,2
Aaron Wiggins,1m93,25,76,12,3.9,1.8
Isaiah Hartenstein,2m13,26,57,11.2,10.7,3.8
Isaiah Joe,1m95,25,74,10.2,2.6,1.6
Luguentz Dort,1m94,25,71,10.1,4.1,1.6
Cason Wallace,1m92,21,68,8.4,3.4,2.5
Alex Caruso,1m95,30,54,7.1,2.9,2.5
Ajay Mitchell,1m92,22,36,6.5,1.9,1.8
Kenrich Williams,2m01,30,69,6.3,3.5,1.4
Jaylin Williams,2m08,22,47,5.9,5.6,2.6
Ousmane Dieng,2m05,21,37,3.8,2.2,0.8
Branden Carlson,2m12,25,32,3.8,1.7,0.4
Dillon Jones,1m97,23,54,2.5,2.2,1.1
Alex Reese,2m08,25,1,2,1,0
Adam Flagler,1m91,25,37,1.8,0.7,0.3
Alex Ducas,1m99,24,21,1.7,1.2,0.2
Malevy Leons,2m05,25,6,0.3,0.5,0.2
