Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Anthony Edwards,1m95,23,79,27.6,5.7,4.5
Julius Randle,2m04,30,69,18.7,7.1,4.7
Naz Reid,2m08,25,80,14.2,6,2.3
Jaden McDaniels,2m05,24,82,12.2,5.7,2
Rudy Gobert,2m15,32,72,12,10.9,1.8
Donte DiVincenzo,1m93,27,62,11.7,3.7,3.6
Nickeil Alexander-Walker,1m97,26,82,9.4,3.2,2.7
Mike Conley,1m85,37,71,8.2,2.6,4.5
Rob Dillingham,1m91,19,49,4.5,1,2
Terrence Shannon,1m97,24,32,4.3,1.5,1
Jaylen Clark,1m95,23,40,4.1,1.3,0.7
Luka Garza,2m11,26,38,3.6,1.4,0.3
Josh Minott,2m03,22,46,2.6,1,0.4
Leonard Miller,1m96,21,13,1.5,0.8,0
Bones Hyland,1m91,24,4,1.3,0.3,1
Joe Ingles,2m04,37,19,0.8,0.6,1.2
P.J. Dozier,1m99,28,9,0.8,0.6,0.6
Daishen Nix,1m94,22,3,0.3,1.3,1
Jesse Edwards,2m11,24,2,0,0,0.5
Tristen Newton,1m95,,3,0,1.3,0.3
