Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Anfernee Simons,1m93,25,70,19.3,2.7,4.8
Shaedon Sharpe,1m98,21,72,18.5,4.5,2.8
Deni Avdija,2m05,23,72,16.9,7.3,3.9
Jerami Grant,2m03,30,47,14.4,3.5,2.1
Deandre Ayton,2m09,26,40,14.4,10.2,1.6
Scoot Henderson,1m93,20,66,12.7,3,5.1
Toumani Camara,1m94,24,78,11.3,5.8,2.2
Dalano Banton,2m06,25,67,8.3,2,2.4
Matisse Thybulle,1m97,27,15,7.5,3.5,1.9
Donovan Clingan,2m17,21,67,6.5,7.9,1.1
Robert Williams,2m09,27,20,5.8,5.9,1.1
Jabari Walker,2m02,22,60,5.2,3.5,0.6
Duop Reath,2m11,28,46,4.2,2,0.6
Kris Murray,2m02,24,69,4.2,2.6,1
Taze Moore,1m95,26,2,3,4,0.5
Rayan Rupert,1m99,20,52,3,1.3,0.5
Sidy Cissoko,1m98,20,5,2,2.2,1.8
Bryce McGowens,2m00,22,13,1,0.2,0.2
Justin Minaya,1m93,25,19,0.9,0.5,0.4
