Name,Height,Age,Games,Points per game,Assists per game,Rebounds per game
Stephen Curry,1m90,36,70,24.5,4.4,6
Jimmy Butler,2m00,35,30,17.9,5.5,5.9
Andrew Wiggins,1m98,29,43,17.6,4.6,2.4
Jonathan Kuminga,2m03,22,47,15.3,4.6,2.2
Brandin Podziemski,1m95,21,64,11.7,5.1,3.4
Buddy Hield,1m93,32,82,11.1,3.2,1.6
Dennis Schroder,1m81,31,24,10.6,2.3,4.4
De'Anthony Melton,1m94,26,6,10.3,3.3,2.8
Moses Moody,1m98,22,74,9.8,2.6,1.3
Draymond Green,2m00,34,68,9,6.1,5.6
Quinten Post,2m14,24,42,8.1,3.5,1.3
Trayce Jackson-Davis,2m05,24,62,6.6,5,1.7
Gary Payton II,1m90,32,62,6.5,3,1.3
Lindy Waters,1m98,27,38,5.5,2.5,1.1
Kyle Anderson,2m02,31,36,5.3,3.1,2.3
Kevon Looney,2m06,28,76,4.5,6.1,1.6
Gui Santos,2m02,22,56,4.1,3.1,1.4
Jackson Rowe,2m01,27,6,3.7,1.8,0.7
Kevin Knox,2m00,25,14,3.3,1.2,0.4
Pat Spencer,1m90,28,39,2.5,1.2,1.2
Reece Beekman,1m90,23,2,1,0.5,0.5
Yuri Collins,1m82,23,2,1,1.5,2
Braxton Key,2m02,27,3,1,0.7,0
